gov_town_code,city,state,latitude,longitude
1356537734,Diglipur,Andaman and Nicobar Islands,13.266700,93.000000
1356161713,Port Blair,Andaman and Nicobar Islands,11.668300,92.737800
1356004057,Rongat,Andaman and Nicobar Islands,12.466700,92.933300
1356144571,Achampet,Andhra Pradesh,16.629900,80.121300
1356837121,Addanki,Andhra Pradesh,15.811000,79.973800
1356850226,Adigoppula,Andhra Pradesh,16.440200,79.623500
1356085840,Adilabad,Andhra Pradesh,19.666700,78.533300
1356357749,Adoni,Andhra Pradesh,15.624400,77.273100
1356052912,Advi Devalpalli,Andhra Pradesh,16.663100,79.513900
1356076247,Agadallanka,Andhra Pradesh,16.712300,81.273200
1356998058,Aginiparru,Andhra Pradesh,16.681700,80.783900
1356687645,Agiripalle,Andhra Pradesh,16.683300,80.650000
1356311836,Akanavaritota,Andhra Pradesh,16.598400,81.811600
1356405611,Akividu,Andhra Pradesh,16.582300,81.381100
1356049380,Aklvidu,Andhra Pradesh,16.600000,81.383300
1356839498,Alampur,Andhra Pradesh,15.879300,78.133400
1356170039,Alamuru,Andhra Pradesh,16.783300,81.900000
1356256634,Alasandigutta,Andhra Pradesh,15.630000,77.280000
1356133308,Alipur,Andhra Pradesh,18.862100,78.875400
1356073530,Allagadda,Andhra Pradesh,15.132200,78.513800
1356302297,Allahdurg,Andhra Pradesh,17.966700,77.916700
1356190180,Allur,Andhra Pradesh,14.680000,80.060000
1356074737,Alluru,Andhra Pradesh,15.131700,78.513100
1356013492,Alur,Andhra Pradesh,15.394400,77.225000
1356947057,Alwal,Andhra Pradesh,17.504700,78.503800
1356997622,Amalapuram,Andhra Pradesh,16.578700,82.006100
1356070257,Amangal,Andhra Pradesh,16.849900,78.532700
1356001353,Amarapuuram,Andhra Pradesh,14.133300,76.983300
1356002501,Amaravati,Andhra Pradesh,16.513100,80.516500
1356070260,Amarchinta,Andhra Pradesh,16.374000,77.772900
1356604322,Ambala,Andhra Pradesh,17.650000,79.050000
1356831114,Aminpur,Andhra Pradesh,17.524100,78.324200
1356545605,Ammanabrolu,Andhra Pradesh,15.580200,80.148800
1356022195,Amrabad,Andhra Pradesh,16.383300,78.833300
1356024163,Amudalapalle,Andhra Pradesh,15.930100,80.689900
1356850881,Amudalavalasa,Andhra Pradesh,18.416700,83.900000
1356285975,Anakapalle,Andhra Pradesh,17.691300,83.003900
1356390426,Ananipalle,Andhra Pradesh,13.650000,79.420000
1356893543,Anantapalle,Andhra Pradesh,16.976700,81.444200
1356296545,Anantapur,Andhra Pradesh,14.680000,77.599000
1356328441,Anantarazupeta,Andhra Pradesh,14.001400,79.331900
1356087662,Anantasagaram,Andhra Pradesh,14.571500,79.407500
1356531518,Angalakuduru Malepalle,Andhra Pradesh,16.239200,80.611700
1356129922,Angallu,Andhra Pradesh,13.628700,78.485700
1356617917,Ankireddikuntapalem,Andhra Pradesh,16.288400,80.391600
1356732259,Annaram,Andhra Pradesh,16.784000,79.302000
1356764826,Anndevarapeta,Andhra Pradesh,17.093700,81.579900
1356744905,Antarvedi,Andhra Pradesh,16.333300,81.733300
1356118051,Antarvedipalem,Andhra Pradesh,16.331900,81.732000
1356163304,Apparaopeta,Andhra Pradesh,16.898700,81.568400
1356892681,Aravelli,Andhra Pradesh,18.719000,79.026200
1356043277,Armur,Andhra Pradesh,18.790000,78.290000
1356870012,Arrapalli,Andhra Pradesh,18.071800,79.738600
1356482140,Arugollu,Andhra Pradesh,16.825300,81.577500
1356994501,Arutla,Andhra Pradesh,17.134600,78.757400
1356547910,Asafabad,Andhra Pradesh,19.365000,79.274000
1356431305,Asakapalle,Andhra Pradesh,17.736400,83.300000
1356588318,Ashwaraopeta,Andhra Pradesh,17.250000,81.133300
1356060648,Aswapuram,Andhra Pradesh,17.834800,80.823600
1356275253,Atchampeta,Andhra Pradesh,15.541200,78.950300
1356405036,Atlapadu,Andhra Pradesh,16.783300,81.900000
1356989044,Atmakur,Andhra Pradesh,15.877900,78.588400
1356647980,Atmakuru,Andhra Pradesh,14.645200,77.355400
1356502281,Attili,Andhra Pradesh,16.700000,81.600000
1356495520,Avanigadda,Andhra Pradesh,16.019700,80.920000
1356265892,Ayyagarpet,Andhra Pradesh,17.219700,80.833900
1356416630,Bachchannapet,Andhra Pradesh,17.788300,79.034900
1356533455,Badepalli,Andhra Pradesh,16.754900,78.144300
1356883509,Badurpalle,Andhra Pradesh,17.546800,78.365000
1356145368,Badvel,Andhra Pradesh,14.750000,79.050000
1356744948,Baladharmaram,Andhra Pradesh,17.670300,80.162800
1356864369,Balighattam,Andhra Pradesh,17.651000,82.605900
1356903520,Balkonda,Andhra Pradesh,18.866700,78.350000
1356370202,Bandamurlanka,Andhra Pradesh,16.517000,81.988000
1356134351,Bandlaguda,Andhra Pradesh,17.354300,78.385300
1356257354,Banganapalle,Andhra Pradesh,15.316700,78.233100
1356367642,Banswada,Andhra Pradesh,18.383300,77.883300
1356828422,Bapatla,Andhra Pradesh,15.904400,80.467500
1356822105,Bardipuram,Andhra Pradesh,18.643100,78.158400
1356852308,Battulapalle,Andhra Pradesh,14.516700,77.783300
1356232529,Bayaram,Andhra Pradesh,18.050600,80.737500
1356678763,Bayyanagudem,Andhra Pradesh,17.125000,81.362800
1356090254,Bayyavaram,Andhra Pradesh,17.663800,82.942000
1356016761,Belagal,Andhra Pradesh,15.818300,77.670200
1356972240,Belampalli,Andhra Pradesh,19.075600,79.488100
1356758094,Bellamkonda,Andhra Pradesh,16.492300,80.008900
1356052121,Bendapudi,Andhra Pradesh,17.267300,82.375800
1356573340,Betamcherla,Andhra Pradesh,15.466700,78.166700
1356456973,Bhadrachalam,Andhra Pradesh,17.668800,80.893600
1356798697,Bhainsa,Andhra Pradesh,19.100000,77.966700
1356399410,Bhanumukkala,Andhra Pradesh,15.311900,78.227700
1356737115,Bhatpalli,Andhra Pradesh,18.431400,79.860500
1356055862,Bhattiprolu,Andhra Pradesh,16.100000,80.780000
1356817825,Bhimadolu,Andhra Pradesh,16.814400,81.261700
1356195520,Bhimavaram,Andhra Pradesh,16.543000,81.523000
